track_id,genre,umap1,umap2,track_id,label,x,y
32081,Rock,8.482478,8.13483,32081,0,224.83449,107.13975
138317,Rock,8.1877,7.5518394,138317,0,206.08846,67.55837
125817,Rock,7.830398,11.172392,125817,2,183.36626,313.37076
117172,Rock,7.3623238,11.614587,117172,1,153.59964,343.39294
131789,Rock,9.71139,9.848545,131789,2,302.98563,223.49
125825,Rock,7.0263896,11.799353,125825,1,132.23631,355.93738
62586,Rock,9.177649,8.135751,62586,0,269.043,107.202225
133276,Rock,7.9232597,9.402632,133276,2,189.27168,193.21535
122400,Rock,8.23854,7.8324337,122400,0,209.32152,86.60893
38901,Rock,10.219133,6.5833936,38901,0,335.27496,1.8070952
126189,Rock,8.43438,8.696869,126189,0,221.77573,145.29855
4784,Rock,8.740041,7.235697,4784,0,241.21388,46.094315
1301,Rock,11.3497305,9.8061495,1301,3,407.17392,220.61162
90616,Rock,7.4216394,9.500644,90616,1,157.37175,199.86974
38914,Rock,11.673908,8.315801,38914,3,427.7896,119.42646
1425,Rock,8.841397,7.757718,1425,0,247.65952,81.536224
108021,Rock,5.509116,10.733772,108021,1,35.747154,283.59128
97279,Rock,6.380104,11.634148,97279,1,91.136566,344.721
122654,Rock,9.401323,7.457756,122654,0,283.26733,61.17072
152569,Rock,5.345693,11.051245,152569,1,25.354464,305.14563
71372,Rock,9.791376,8.685653,71372,0,308.07227,144.53705
133942,Rock,8.232141,9.517728,133942,2,208.91458,201.02963
133450,Rock,6.131792,10.019987,133450,1,75.34547,235.12984
134452,Rock,8.275855,7.9267993,134452,0,211.69455,93.015755
126718,Rock,7.004259,11.602294,126718,1,130.82895,342.55835
122166,Rock,8.353075,8.833321,122166,0,216.60526,154.56276
144801,Rock,7.8036885,7.9680176,144801,0,181.6677,95.81422
86482,Rock,6.543402,11.25492,86482,1,101.52132,318.97388
93956,Rock,8.760571,7.4382668,93956,0,242.51944,59.84752
12521,Rock,10.232762,8.196251,12521,0,336.1417,111.3098
145189,Rock,8.059713,11.278931,145189,2,197.94928,320.60406
90526,Rock,8.637166,10.032584,90526,2,234.67168,235.98509
122168,Rock,8.822317,9.202135,122168,0,246.44614,179.6029
9640,Rock,12.041564,9.864065,9640,3,451.17023,224.54373
120770,Rock,9.1739645,7.927073,120770,0,268.80872,93.03434
105141,Rock,9.341833,7.0755777,105141,0,279.48413,35.223255
120327,Rock,8.338512,9.088533,120327,0,215.67917,171.89008
252,Rock,6.253125,9.573574,252,1,83.0615,204.82124
134454,Rock,6.91367,8.593527,134454,1,125.068054,138.2823
86795,Rock,5.764017,8.748065,86795,1,51.957268,148.77444
122675,Rock,5.029199,9.901814,122675,1,5.227412,227.10666
122087,Rock,8.380959,9.19908,122087,0,218.37848,179.39552
90530,Rock,6.191576,8.926228,90530,1,79.147354,160.87054
114536,Rock,6.9604616,11.410419,114536,1,128.0437,329.5313
126585,Rock,5.8070145,9.482059,126585,1,54.691635,198.60791
125821,Rock,7.465296,11.302294,125821,1,160.14803,322.19025
122086,Rock,8.500458,9.13117,122086,0,225.97789,174.78485
127660,Rock,8.829775,11.549213,127660,2,246.92041,338.95453
145431,Rock,5.503054,11.016187,145431,1,35.361645,302.7654
